id ,value0 ,value1 ,value2 ,value3 ,value4 ,value5 ,value6 ,value7 ,value8 ,value9 ,label0 ,label1 ,label2 ,label3 ,label4 
0 ,0.726252013795 ,0.219652030578 ,0.705331688196 ,0.904485463234 ,0.579481663693 ,0.660690444692 ,0.765286357043 ,0.247115950623 ,0.743433658591 ,0.121328718526 ,43.3743200661 ,142.42682073 ,66.4017804063 ,144.523714715 ,26.7964788232 
1 ,0.294375240449 ,0.357770948926 ,0.0305048849706 ,0.934549402589 ,0.913079025194 ,0.782692578827 ,0.223292715025 ,0.33698540644 ,0.674235251037 ,0.531641169493 ,111.681622551 ,99.3189876535 ,1.6629436233 ,96.271351734 ,69.7427000959 
2 ,0.984775616991 ,0.473055196084 ,0.171983395577 ,0.0380731970732 ,0.618312163939 ,0.458853699346 ,0.941779162653 ,0.262165417855 ,0.711513464548 ,0.37326781965 ,57.9894867637 ,109.718941876 ,13.2192954389 ,113.190800736 ,144.027142273 
3 ,0.501720683989 ,0.971516667778 ,0.0610324723479 ,0.71272974737 ,0.780677408444 ,0.047122007014 ,0.315813100654 ,0.922310270312 ,0.739199526099 ,0.0324608626322 ,80.1187095819 ,4.48537740129 ,90.0987416175 ,124.496988894 ,34.6750218633 
4 ,0.489044217346 ,0.0688072205879 ,0.087693222278 ,0.421173203318 ,0.145962268408 ,0.0602682784035 ,0.709569859786 ,0.197218517785 ,0.888546715127 ,0.516733248792 ,84.6050279561 ,14.5151570107 ,42.4532835018 ,94.3091642358 ,79.697986995 
5 ,0.522202836714 ,0.128289871803 ,0.454470128537 ,0.785909469925 ,0.907855212091 ,0.76691396911 ,0.644051486577 ,0.428899159248 ,0.629882626286 ,0.576306033413 ,44.2004350994 ,12.829286155 ,110.420521127 ,65.0478493747 ,101.291594625 
6 ,0.538969108876 ,0.725751523285 ,0.28359101959 ,0.401385547676 ,0.722501801719 ,0.583588906477 ,0.242920642195 ,0.461439056591 ,0.766369461091 ,0.953092449671 ,120.512521687 ,101.300778644 ,109.755989121 ,70.1860268779 ,45.9957571528 
7 ,0.551893320436 ,0.942595501078 ,0.785305734509 ,0.29647200383 ,0.717268402096 ,0.164756971976 ,0.686995156578 ,0.524958069691 ,0.879892117268 ,0.545821313249 ,69.7740668532 ,85.6051818103 ,75.6869154789 ,86.308995285 ,82.2637434204 
8 ,0.643831733039 ,0.0229791955947 ,0.73344835292 ,0.624996773643 ,0.665878906825 ,0.836229329536 ,0.972290602223 ,0.408265727182 ,0.320009371146 ,0.926058691697 ,109.16579857 ,15.8821927243 ,28.8009360093 ,62.7098711251 ,148.730127734 
9 ,0.523927722315 ,0.47746751275 ,0.511463970134 ,0.642297167998 ,0.0468041075344 ,0.664856438257 ,0.399292261666 ,0.630534457309 ,0.728503688194 ,0.250924975824 ,41.5415888413 ,147.514405633 ,21.8467570816 ,124.114759026 ,130.804897328 
10 ,0.962180972951 ,0.254069520614 ,0.936156635734 ,0.169134970478 ,0.575831248821 ,0.676652229178 ,0.439227947222 ,0.900793990458 ,0.720411863574 ,0.264260702438 ,115.410566886 ,59.9819132499 ,86.9544295889 ,9.29532912793 ,61.0994658475 
11 ,0.956909723298 ,0.315679614047 ,0.650271057543 ,0.936735166355 ,0.529828517458 ,0.0274988459477 ,0.189901868353 ,0.321368319103 ,0.358352089921 ,0.29580333748 ,47.4286531878 ,58.9427243164 ,112.047318819 ,144.720195358 ,132.120648479 
12 ,0.625552551741 ,0.116971130641 ,0.0153458339155 ,0.659805768358 ,0.0717339862549 ,0.6481867241 ,0.757915890715 ,0.783309666041 ,0.508139957831 ,0.250481415477 ,49.8467832799 ,72.4286025067 ,122.192937036 ,115.807728383 ,3.24640943623 
